title,id,track url,img url,artists,danceability,energy,valence,tempo,loudness
2020 Freestyle,48qzRaJRC3ZweZJmBZ2yoM,https://open.spotify.com/track/48qzRaJRC3ZweZJmBZ2yoM,https://i.scdn.co/image/ab67616d0000b273f08362fcb5effb6321d209ad,['Big Homie Prez'],0.714,0.388,0.181,135.171,-13.02
driveway,0OlYle8Y5Vs7bk1A9wydmY,https://open.spotify.com/track/0OlYle8Y5Vs7bk1A9wydmY,https://i.scdn.co/image/ab67616d0000b2739b2e563fae0760bdbaea8c22,['Lil Peep'],0.392,0.499,0.232,135.551,-6.997
Broken Glass,78ldtCaBRJVp2i91B715L0,https://open.spotify.com/track/78ldtCaBRJVp2i91B715L0,https://i.scdn.co/image/ab67616d0000b27380368f0aa8f90c51674f9dd2,"['Kygo', 'Kim Petras']",0.526,0.633,0.272,171.044,-7.002
Moonwalking in Calabasas,73xjJ1TIE6WP3HNKczQE4F,https://open.spotify.com/track/73xjJ1TIE6WP3HNKczQE4F,https://i.scdn.co/image/ab67616d0000b2739ea849484864329633574323,['DDG'],0.915,0.37,0.736,130.033,-8.696
Pumpkins Scream In the Dead of Night (feat. shinigami),3sdYpdTTn4fdfu4cyisnt0,https://open.spotify.com/track/3sdYpdTTn4fdfu4cyisnt0,https://i.scdn.co/image/ab67616d0000b27308f8dfa386268f7116f999c8,"['Savage Ga$p', '93FEETOFSMOKE', 'shinigami']",0.816,0.577,0.459,171.028,-5.998
no eres tu(soy yo),6vOQUrwsokMFDQLbgRDhV8,https://open.spotify.com/track/6vOQUrwsokMFDQLbgRDhV8,https://i.scdn.co/image/ab67616d0000b273044a5466dac00f7b3c570b99,['Kali Uchis'],0.831,0.474,0.35,149.003,-7.987
"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",4iiWcajF1fEUpwcUewc464,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464,https://i.scdn.co/image/ab67616d0000b2734df9c60aa74fb72c1e07fd1d,"['Future', 'DaBaby', 'Drake', 'Lil Baby']",0.81,0.566,0.582,142.069,-8.33
No Sucker (feat. Moneybagg Yo),6A9wHAasMxed0firnDao1K,https://open.spotify.com/track/6A9wHAasMxed0firnDao1K,https://i.scdn.co/image/ab67616d0000b273f46a9ad551acbdab8f72fd89,"['Lil Baby', 'Moneybagg Yo']",0.9,0.846,0.851,129.966,-4.884
Line Em Up (feat. Busta Rhymes),7ANZw7sZYlCBXKMAJjQGTs,https://open.spotify.com/track/7ANZw7sZYlCBXKMAJjQGTs,https://i.scdn.co/image/ab67616d0000b273fc20c5dacda34b8609bcbe78,"['Russ', 'Busta Rhymes']",0.745,0.77,0.816,74.363,-6.126
One Margarita,1Y3TlYJNhIa7k4YAvFkJAB,https://open.spotify.com/track/1Y3TlYJNhIa7k4YAvFkJAB,https://i.scdn.co/image/ab67616d0000b2734768480cf7c817b1f2d12113,['Luke Bryan'],0.641,0.842,0.738,89.997,-4.872
kiss kiss,69LvvkHnFFnX3d5eNObtMo,https://open.spotify.com/track/69LvvkHnFFnX3d5eNObtMo,https://i.scdn.co/image/ab67616d0000b273d4d4929a3a86fe2f9fadbd42,['Machine Gun Kelly'],0.569,0.85,0.769,162.061,-5.134
Painless 2 (with NAV feat. Lil Durk),71Ih7wOeWd2EJxKi77Yiqi,https://open.spotify.com/track/71Ih7wOeWd2EJxKi77Yiqi,https://i.scdn.co/image/ab67616d0000b273bcd51777aaec605cad0b3091,"['J.I the Prince of N.Y', 'NAV', 'Lil Durk']",0.714,0.436,0.535,138.035,-8.938
